Name,Amount
Xiong huang fen 雄黄粉,300
Xu Duan 续断,370
Xuan Fu Hua 旋复花,315
Xuan Shen 玄参,130
Yan Hu Suo 延胡索,105
Ye jiao teng 夜交藤,80
Yi Mi 薏米,715
Yi Mu Cao 益母草,820
Yi Zhi Ren 益智仁,600
Yin Chen 茵陈,800
Yu Jin 郁金,310
Yu sing cao 鱼腥草,150
Yu Zhu 玉竹,765
Yuan Zhi 远志,745
Ze Lan 泽兰,340
Ze Xie 泽泻,1285
Zhe Bei Mu 浙贝母,150
Zhen zhu mu 珍珠母,55
Zhi Gan Cao 炙甘草,650
Zhi Gui Ban 炙龟板,1295
Zhi he zi 炙诃子,90
Zhi Mu 知母,1253
Zhi nan xing,305
Zhi pi pa ye 炙枇杷叶,90
Zhi Qiao 枳壳,570
Zhi Shi 枳实,580
Zhu ling 猪苓,220
Zhu ru竹茹,670
Zhu Ye 竹叶,620
Zi Cao 紫草,95
Zi Shi Ying 紫石英,610
Zi Wan 紫菀,245
